BindingDB_id,Smiles,bioactivity_class,IC50_nM,Data Set
1225479,COCCOc(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225481,COCCOc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225484,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c(cc3)cc(CC4)c3NC4=O)cc12)=O)=O,Active,10001,Bsite
1225486,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c(cc3)cc(CCN4)c3C4=O)cc12)=O)=O,Active,10001,Bsite
1225488,CC(Nc(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite
1225492,CC(Nc1cccc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1)=O,Active,10001,Bsite
1225496,CC(Nc(cccc1)c1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite
1225500,CNC(c(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite
1225504,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=CC2=CN=NC2C=C1)=O)=O,Active,10001,Bsite
1225506,CNC(c1cccc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1)=O,Active,10001,Bsite
1225510,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=C2C=CC=CC2N=C1)=O)=O,Active,10001,Bsite
1225512,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CN2)c1C2=O)=O)=O,Active,10001,Bsite
1225516,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3cc4cccnc4cc3)cc12)=O)=O,Active,10001,Bsite
1225518,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(C2)c1NC2=O)=O)=O,Active,10001,Bsite
1225520,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cc(C(NCC2)=O)c2cc1)=O)=O,Active,10001,Bsite
1225523,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c(CCC(N2)=O)c2ccc1)=O)=O,Active,10001,Bsite
1225527,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c(CCNC2=O)c2ccc1)=O)=O,Active,10001,Bsite
