ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
FAP6-IP-DOTA,O=C(N1CC(F)(F)C[C@H]1C#N)C1NC(=O)[C@H](CC(=O)N2Cc3c(cccc3C2)Cn2nnc(COCCOCCOCCOCCOCCOCCNC(=O)[C@@H](CCCCNC(=O)CCCc3ccc(I)cc3)NC(=O)CN3CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC3)c2)C1,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c510>,O=C(CCCc1ccccc1)NCCCC[C@@H](NC(=O)CN1CCNCCNCCNCC1)C(=O)NCCOCCOCCOCCOCCOCCOCc1cn(Cc2cccc3c2CN(C(=O)C[C@@H]2CC(C(=O)N4CCCC4)NC2=O)C3)nn1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd682e0>
FAPTG,OC1OC(CO)C(O)C(O)C1NC(=O)CCC(NC(=O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CC1)C(=O)NC(CC(=O)O)C(=C)NC(CC(=O)O)C(=O)NCCOCCOCC(=O)N1CCN(CC1)CCCOc1ccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@@H]3C#N)c2c1,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c580>,C=C(CNC(=O)C(CCC(=O)NC1CCCOC1)NC(=O)CN1CCNCCNCC1)NCC(=O)NCCOCCOCC(=O)N1CCN(CCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68350>
FAPtp,O=C(O)C1CC(F)(F)CN1C(=O)CNC(=O)[C@H](NC(=O)C1CCCN1C(=O)CNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)Cc1c[NH]c2ccccc21,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c5f0>,O=C(CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CN1CCNCCNCCNCC1)NCC(=O)N1CCCC1C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd683c0>
DOTA-FAPI-maleimide,O=C(NCCOCCOCCNC(=O)CCCN1C(=O)C=CC1=O)[C@@H](NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)CCC(=O)N1CCN(CC1)CCCOc1ccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@@H]3C#N)c2c1,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c660>,O=C(CCCN1C(=O)C=CC1=O)NCCOCCOCCNC(=O)[C@H](CCC(=O)N1CCN(CCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1)NC(=O)CN1CCNCCNCCNCC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68430>
SB03045,O=C(NCC(=O)N1C[C@@H](F)CC1C#N)c1ccnc2ccc(OCCCN3CCN(CC3)C(=O)CN3CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC3)CC(=O)O)cc21,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c6d0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(OCCCN3CCN(C(=O)CN4CCNCCNCCNCC4)CC3)cc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd684a0>
DOTA.SA.FAPI,O=C(NCC(=O)N1CC(F)(F)C[C@H]1C#N)c1ccnc2ccc(OCCCCNC=3C(=O)C(=O)C=3NCCNC(=O)CN3CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC3)cc21,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c740>,O=C(CN1CCNCCNCCNCC1)NCCNc1c(NCCCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)c(=O)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68510>
DATA.SA.FAPI,O=C(NCC(=O)N1CC(F)(F)C[C@H]1C#N)c1ccnc2ccc(OCCCCNC=3C(=O)C(=O)C=3NCCNC(=O)CCCCC3(CN(CC(O)=O)CCN(C3)CC(O)=O)N(C)CC(O)=O)cc21,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c7b0>,O=C(CCCCC1CNCCNC1)NCCNc1c(NCCCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)c(=O)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68580>
SB03178,O=C(NCC(=O)N1CC(F)(F)C[C@@H]1C#N)c1ccnc2c1cc(OCCCN1CCN(CC1)C(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)c1ccccc21,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c820>,O=C(NCC(=O)N1CCCC1)c1ccnc2c1cc(OCCCN1CCN(C(=O)CN3CCNCCNCCNCC3)CC1)c1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd685f0>
DOTA-2P(FAPI)2,N#C[C@]1(C)CC(F)(F)CN1C(=O)CNC(=O)c1ccnc2ccc(cc21)N(C)CCCN1CCN(CC1)C(=O)COCCOCCOCCNC(=O)CCC(=O)N[C@H](CCCCNC(=O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)C(=O)NCCOCCOCCOCC(=O)N1CCN(CC1)CCCN(C)c1cc2c(cc1)nccc2C(=O)NCC(=O)N1CC(F)(F)C[C@@]1(C)C#N,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c890>,O=C(CCC(=O)N[C@H](CCCCNC(=O)CN1CCNCCNCCNCC1)C(=O)NCCOCCOCCOCC(=O)N1CCN(CCCNc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1)NCCOCCOCCOCC(=O)N1CCN(CCCNc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd68660>
PSMA-FAPI,N#C[C@H]1CC(F)(F)CN1C(=O)CNC(=O)c1ccnc2ccc(cc21)OCCCN1CCN(CC1)C(=O)CCC(=O)NCCCC[C@H](NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CC1)C(=O)NC[C@H]1CCC(CC1)C(=O)NC(Cc1cc2ccccc2cc1)C(=O)NCCCCC(NC(=O)NC(CCC(C)=C)C(C)=C)C(=O)O,Molecules,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd4c900>,O=C(CCC(=O)N1CCN(CCCOc2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)CC1)NCCCC[C@H](NC(=O)CN1CCNCCNCC1)C(=O)NCC1CCC(C(=O)NCCc2ccc3ccccc3c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7a2dbfd686d0>
