ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
1080016,CC1(C)[C@@H](C(N2[C@H](B(O)O)CCC2)=O)NCC1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f69d0>,O=C([C@@H]1CCCN1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4ba0>
1080023,CC1(CC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6960>,O=C(CC1CC1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4c10>
1080030,N[C@@H](Cc1ccccc1)C(N1[C@H](B(O)O)CCC1)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f68f0>,O=C(CCc1ccccc1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4c80>
1080037,CC(C)C[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6880>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4cf0>
1080044,NCCCC[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6810>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4d60>
1080051,OB([C@H](CCC1)N1C([C@H]1NCCC1)=O)O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f67a0>,O=C([C@@H]1CCCN1)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4dd0>
1080058,N[C@H](CCC(O)=O)C(N1[C@@H](B(O)O)CCC1)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6730>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4e40>
1080065,CC(C)(C)[C@@H](C(N(CCC1)[C@@H]1C#N)=O)N,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f66c0>,C1CCNC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4eb0>
1080072,N[C@H](C(CC(C1)C2)(CC1C1)CC21F)C(N1[C@@H](B(O)O)CCC1)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6650>,O=C(CC12CC3CC(CC(C3)C1)C2)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4f20>
1225336,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccccc12)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f65e0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d4f90>
1225343,N#CC(CC(C1)(F)F)N1C(CNC(c1c(cc(cc2)-c(cc3)ccc3Cl)c2ncc1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6570>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3ccccc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5000>
1225357,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1ccccc1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6500>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3ccccc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5070>
1225365,N#CC(CC(C1)(F)F)N1C(CNC(c1c(cc(cc2)-c3ccc(cc(cc4)Cl)c4c3)c2ncc1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6490>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3ccc4ccccc4c3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d50e0>
1225369,Cc1n[o]c(C)c1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6420>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3cnoc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5150>
1225373,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cnccc1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f63b0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3cccnc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d51c0>
1225377,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1ccncc1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6340>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3ccncc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5230>
1225381,CC(C)(C)c(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f62d0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3ccccc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d52a0>
1225385,C[n](cc1)c(cc2)c1cc2-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6260>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3ccc4[nH]ccc4c3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5310>
1225389,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=CC2=CC=NC2C=C1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f61f0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(C3=CC4=CC=NC4C=C3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5380>
1225393,C[n]1ncc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6180>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3cn[nH]c3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d53f0>
1225397,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c[n](C2CC2)nc1)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6110>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3cnn(C4CC4)c3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5460>
1225401,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1NCC2)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f60a0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3ccc4c(c3)CCN4)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d54d0>
1225405,CC(C)C/C=C/c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f6030>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5540>
1225409,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ccccc3)cc12)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f5fc0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(/C=C/c3ccccc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d55b0>
1225413,CN(C)c1ccc(cc(cc2)-c3ccc4nccc(C(NCC(N(CC(C5)(F)F)C5C#N)=O)=O)c4c3)c2c1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f5f50>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3ccc4ccccc4c3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5620>
1225417,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CC2)c1NC2=O)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f5ee0>,O=C1CCc2cc(-c3ccc4nccc(C(=O)NCC(=O)N5CCCC5)c4c3)ccc2N1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5690>
1225421,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(C(C=C3)C=NC3=O)cc12)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f5e70>,O=C1C=CC(c2ccc3nccc(C(=O)NCC(=O)N4CCCC4)c3c2)C=N1,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5700>
1225425,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CCN2)c1C2=O)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f5b60>,O=C1NCCc2cc(-c3ccc4nccc(C(=O)NCC(=O)N5CCCC5)c4c3)ccc21,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5770>
1225429,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ccncc3)cc12)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f5cb0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(/C=C/c3ccncc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d57e0>
1225433,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3cnccc3)cc12)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c8f5c40>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(/C=C/c3cccnc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5850>
1225437,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ncccc3)cc12)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c65f8b0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(/C=C/c3ccccn3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d58c0>
1225441,COC(/C=C/c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c690970>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5930>
1225445,Cc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c6909e0>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3cccnc3)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d59a0>
1225447,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1OCCO2)=O)=O,BSITE,<rdkit.Chem.rdchem.Mol object at 0x78135c690a50>,O=C(NCC(=O)N1CCCC1)c1ccnc2ccc(-c3ccc4c(c3)OCCO4)cc12,<rdkit.Chem.rdchem.Mol object at 0x78135c6d5a10>
