BindingDB_id,SMILES,bioactivity_class,IC50_nM,Data Set,Smiles standarization,Patente
1225413,CN(C)c1ccc(cc(cc2)-c3ccc4nccc(C(NCC(N(CC(C5)(F)F)C5C#N)=O)=O)c4c3)c2c1,Active,10001,Bsite,Nope,Si
1225417,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CC2)c1NC2=O)=O)=O,Active,10001,Bsite,Nope,Si
1225421,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(C(C=C3)C=NC3=O)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225425,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CCN2)c1C2=O)=O)=O,Active,10001,Bsite,Nope,Si
1225429,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ccncc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225433,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3cnccc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225437,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ncccc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225441,COC(/C=C/c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite,Nope,Si
1225445,Cc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225447,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1OCCO2)=O)=O,Active,10001,Bsite,Nope,Si
1225449,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cnc(C2CC2)cc1)=O)=O,Active,10001,Bsite,Nope,Si
1225463,COc(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225467,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)ccc1OC(F)(F)F)=O)=O,Active,10001,Bsite,Nope,Si
1225471,CN1CCN(Cc(cc2)ccc2-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)CC1,Active,10001,Bsite,Nope,Si
1225475,COc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225477,CC(C)Oc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225479,COCCOc(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225481,COCCOc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225484,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c(cc3)cc(CC4)c3NC4=O)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225486,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c(cc3)cc(CCN4)c3C4=O)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225488,CC(Nc(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite,Nope,Si
