BindingDB_id,SMILES,bioactivity_class,IC50_nM,Data Set,Smiles standarization,Patente
1225365,N#CC(CC(C1)(F)F)N1C(CNC(c1c(cc(cc2)-c3ccc(cc(cc4)Cl)c4c3)c2ncc1)=O)=O,Active,10001,Bsite,Nope,Si
1225369,Cc1n[o]c(C)c1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225373,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cnccc1)=O)=O,Active,10001,Bsite,Nope,Si
1225377,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1ccncc1)=O)=O,Active,10001,Bsite,Nope,Si
1225381,CC(C)(C)c(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225385,C[n](cc1)c(cc2)c1cc2-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225389,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=CC2=CC=NC2C=C1)=O)=O,Active,10001,Bsite,Nope,Si
1225393,C[n]1ncc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1,Active,10001,Bsite,Nope,Si
1225397,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c[n](C2CC2)nc1)=O)=O,Active,10001,Bsite,Nope,Si
1225401,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1NCC2)=O)=O,Active,10001,Bsite,Nope,Si
1225405,CC(C)C/C=C/c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225409,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ccccc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225413,CN(C)c1ccc(cc(cc2)-c3ccc4nccc(C(NCC(N(CC(C5)(F)F)C5C#N)=O)=O)c4c3)c2c1,Active,10001,Bsite,Nope,Si
1225417,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CC2)c1NC2=O)=O)=O,Active,10001,Bsite,Nope,Si
1225421,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(C(C=C3)C=NC3=O)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225425,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CCN2)c1C2=O)=O)=O,Active,10001,Bsite,Nope,Si
1225429,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ccncc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225433,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3cnccc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225437,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3ncccc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225441,COC(/C=C/c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite,Nope,Si
1225445,Cc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225447,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1OCCO2)=O)=O,Active,10001,Bsite,Nope,Si
1225449,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cnc(C2CC2)cc1)=O)=O,Active,10001,Bsite,Nope,Si
1225463,COc(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225467,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)ccc1OC(F)(F)F)=O)=O,Active,10001,Bsite,Nope,Si
1225471,CN1CCN(Cc(cc2)ccc2-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)CC1,Active,10001,Bsite,Nope,Si
1225475,COc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225477,CC(C)Oc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225479,COCCOc(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225481,COCCOc(cc1)ncc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225484,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c(cc3)cc(CC4)c3NC4=O)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225486,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c(cc3)cc(CCN4)c3C4=O)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225488,CC(Nc(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite,Nope,Si
1225492,CC(Nc1cccc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1)=O,Active,10001,Bsite,Nope,Si
1225496,CC(Nc(cccc1)c1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite,Nope,Si
1225500,CNC(c(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite,Nope,Si
1225504,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=CC2=CN=NC2C=C1)=O)=O,Active,10001,Bsite,Nope,Si
1225506,CNC(c1cccc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1)=O,Active,10001,Bsite,Nope,Si
1225510,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=C2C=CC=CC2N=C1)=O)=O,Active,10001,Bsite,Nope,Si
1225512,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CN2)c1C2=O)=O)=O,Active,10001,Bsite,Nope,Si
1225516,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3cc4cccnc4cc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225518,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(C2)c1NC2=O)=O)=O,Active,10001,Bsite,Nope,Si
1225520,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cc(C(NCC2)=O)c2cc1)=O)=O,Active,10001,Bsite,Nope,Si
1225523,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c(CCC(N2)=O)c2ccc1)=O)=O,Active,10001,Bsite,Nope,Si
1225527,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c(CCNC2=O)c2ccc1)=O)=O,Active,10001,Bsite,Nope,Si
1225531,CN(C(CC1)=O)c(cc2)c1cc2-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225534,CN(CCc1c2ccc(-c3ccc4nccc(C(NCC(N(CC(C5)(F)F)C5C#N)=O)=O)c4c3)c1)C2=O,Active,10001,Bsite,Nope,Si
1225537,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/C3=CC4=CN=NC4C=C3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225540,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1NCCC2)=O)=O,Active,10001,Bsite,Nope,Si
1225543,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cc(CCNC2)c2cc1)=O)=O,Active,10001,Bsite,Nope,Si
1225547,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c(cc3)cc4c3NCC4)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225550,CNC(c(ccc(-c(ccc1ncc2)cc1c2C(NCC(N(CC(C1)(F)F)C1C#N)=O)=O)c1)c1F)=O,Active,10001,Bsite,Nope,Si
1225554,C[C@H](C(N(CC(C1)(F)F)[C@@H]1C#N)=O)NC(c(ccnc1)c1-c1ccccc1)=O,Active,1001,Bsite,Nope,Si
1225558,C[C@@H](C(N(CC(C1)(F)F)[C@@H]1C#N)=O)NC(c(ccnc1)c1-c1ccccc1)=O,Active,1001,Bsite,Nope,Si
1245036,CCC(C)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite,Nope,Si
1245042,NC(CC(N(CC1)CCN1C(c(cc1)ccc1F)c(cc1)ccc1F)=O)C(N(C1)Cc2c1cccc2)=O,Active,2200,Bsite,Nope,Si
1245055,N[C@H](C1(CC1)C(F)(F)F)C(N1[C@@H](B(O)O)CCC1)=O,Active,1200,Bsite,Nope,Si
1245088,N[C@H](CC(N(CC1)CCN1C(c(cc1)ccc1F)c(cc1)ccc1F)=O)C(N(C1)[C@@H](B(O)O)c2c1cccc2)=O,Active,2200,Bsite,Nope,Si
1245120,CC(C)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite,Nope,Si
1245126,CC(C)(C)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite,Nope,Si
1245170,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N(C)C,Active,100001,Bsite,Nope,Si
1297053,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,5.8,Bsite,Nope,Si
1297054,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)c1ccc(cc1)NNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,Active,2.7,Bsite,Nope,Si
1297056,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)c1ccc(cc1)NNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,Active,2.1,Bsite,Nope,Si
1297085,OB(O)[C@H]1CCCN1C(=O)[C@@H](C)NC(=O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC1)CC(O)=O,Active,760,Bsite,Nope,Si
1297087,OB(O)[C@H]1CCCN1C(=O)[C@@H](C)NC(=O)C(NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,62,Bsite,Nope,Si
1297088,OB(O)[C@H]1CCCN1C(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC1)CC(O)=O)C(C)C,Active,26.2,Bsite,Nope,Si
1297089,OB(O)[C@H]1CCCN1C(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)CO,Active,186,Bsite,Nope,Si
1297090,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC1)CC(O)=O)CO,Active,128,Bsite,Nope,Si
1297091,OB(O)[C@H]1CCCN1C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O,Active,71.7,Bsite,Nope,Si
1297092,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O,Active,428,Bsite,Nope,Si
1297093,OB(O)[C@H]1CCCN1C(=O)[C@@H](C)NC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O,Active,73.1,Bsite,Nope,Si
1297094,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,6.9,Bsite,Nope,Si
1297095,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,277,Bsite,Nope,Si
1297096,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,12,Bsite,Nope,Si
1297099,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,3.5,Bsite,Nope,Si
1297109,O=C(N1CCCC1B1OC(=O)CN(C)CC(=O)O1)[C@@H](C)NC(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)C(C)C,Active,280,Bsite,Nope,Si
1297110,O=C(N1CC(F)(F)C[C@H]1C#N)[C@@H](C)NC(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)CN1CCN(CCN(CC(=O)O)CCN(CC1)CC(=O)O)CC(=O)O)C(C)C,Active,107,Bsite,Nope,Si
1297112,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CCC(N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O)C(=O)O)C(C)C,Active,33,Bsite,Nope,Si
1297114,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CCC(N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O)C(=O)O)C(C)C,Active,8.9,Bsite,Nope,Si
1297116,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CC[C@H](N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O)C(=O)O)C(C)C,Active,17,Bsite,Nope,Si
1297119,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CC[C@H](N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O)C(=O)O)C(C)C,Active,310,Bsite,Nope,Si
1297125,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CCC(N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O)C(=O)O)C(C)C,Active,11.5,Bsite,Nope,Si
1297126,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CC[C@H](N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O)C(=O)O)C(C)C,Active,11.5,Bsite,Nope,Si
1297128,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CC[C@H](N1CCN(CC(=O)O)CCN(CCN(CC(=O)O)CC1)CC(=O)O)C(=O)O)C(C)C,Active,89,Bsite,Nope,Si
1297129,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,26.8,Bsite,Nope,Si
1297130,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,439,Bsite,Nope,Si
1297131,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,21,Bsite,Nope,Si
1297132,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,258,Bsite,Nope,Si
1297133,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,14.8,Bsite,Nope,Si
1297134,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,180,Bsite,Nope,Si
1297135,OB(O)[C@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC1)CC(=O)O)C(C)C,Active,21,Bsite,Nope,Si
